,words,emotions
0,abandon,weakness
1,abas,weakness
2,abash,weakness
3,abat,power
4,abdic,weakness
5,aberr,power
6,abhor,weakness
7,abhorr,disgust
8,abid,power
9,abil,power
10,abject,weakness
11,abjur,weakness
12,abl,power
13,abnorm,weakness
14,abolish,weakness
15,abomin,weakness
16,abound,power
17,abov,power
18,aboveaverag,weakness
19,abrad,disgust
20,abras,disgust
21,abrupt,surprise
22,abscond,weakness
23,absenc,weakness
24,absente,weakness
25,absentmind,sadness
26,absolv,power
27,absurd,weakness
28,abund,fear
29,abus,weakness
30,abysm,weakness
31,aby,weakness
32,acced,power
33,accept,power
34,access,weakness
35,accident,weakness
36,acclaim,power
37,acclam,power
38,accolad,power
39,accommod,weakness
40,accomplish,power
41,accord,power
42,accost,power
43,account,weakness
44,accur,weakness
45,accurs,power
46,accus,power
47,acerb,anger
48,ach,power
49,achiev,power
50,acknowledg,power
51,acquit,weakness
52,acrid,anger
53,acrimoni,anger
54,activ,power
55,acumen,power
56,adam,power
57,adapt,power
58,addict,weakness
59,adept,power
60,adequ,power
61,adher,power
62,adhes,weakness
63,admir,happiness
64,admiss,weakness
65,admit,power
66,admonish,power
67,admonit,power
68,ador,happiness
69,adrift,weakness
70,adroit,power
71,adul,power
72,adulatori,power
73,adulter,power
74,advanc,power
75,advantag,power
76,adventur,power
77,adventuresom,power
78,adversari,anger
79,advers,anger
80,advic,power
81,advis,power
82,advocaci,fear
83,advoc,fear
84,affabl,happiness
85,affect,happiness
86,affection,happiness
87,affin,weakness
88,affirm,weakness
89,afflict,power
90,affluenc,power
91,affluent,power
92,afford,power
93,affright,fear
94,affront,anger
95,afloat,power
96,afraid,power
97,against,anger
98,aggrav,weakness
99,aggress,anger
100,aggressor,power
101,aggriev,sadness
102,aghast,fear
103,agil,power
104,agit,weakness
105,agoni,weakness
106,agon,weakness
107,agre,power
108,agreeabl,power
109,agreement,power
110,ail,weakness
111,ailment,weakness
112,aimless,power
113,air,happiness
114,alarm,fear
115,ala,sadness
116,alert,fear
117,alien,disgust
118,allay,power
119,alleg,weakness
120,allerg,weakness
121,allevi,power
122,allow,power
123,allur,weakness
124,alli,power
125,almighti,power
126,aloof,power
127,alterc,weakness
128,although,power
129,altruist,power
130,amat,happiness
131,amatori,happiness
132,amaz,surprise
133,ambigu,power
134,ambiti,power
135,ambival,power
136,ambush,weakness
137,amelior,power
138,amen,weakness
139,amiabl,happiness
140,amiabili,happiness
141,amic,happiness
